Spanish,Frequency,Tagalog,Frequency,English,Frequency,Hiligaynon,Frequency,Bikol,Frequency,Waray,Frequency,Ilocano,Frequency,Cebuano,Frequency,Kapampangan,Frequency,Pangasinense,Frequency,Yakan,Frequency,Ivatan,Frequency,Tausug,Frequency,Yami,Frequency,Tuwali-Ifugao,Frequency,Masbateno,Frequency
"o,_",1721,mga,2984,_be,1664,a_n,3072,mga,2644,a_i,2658,a_n,2206,_mg,2752,_ni,2304,ala,1868,we_,2271,as_,2921,n_h,3264,a_a,3091,nad,1981,a_a,2599
no_,1715,niy,2955,her,1650,kag,3051,_mg,2633,ang,2637,et_,2192,ya_,2703,nin,2304,_da,1863,aka,2256,a_m,2914,n_s,3229,_da,3075,n_h,1893,n_s,2574
en_,1707,_ni,2952,re_,1633,aga,2850,kan,2547,o_h,2627,da_,2123,ila,2607,ya_,2271,ad_,1756,_ba,2168,aka,2870,_ta,3158,a_t,3073,n_m,1864,a_k,2516
est,1701,a_n,2867,_sa,1613,g_m,2817,ong,2491,ay_,2600,en_,2067,ong,2506,lan,2263,sik,1753,uwa,2102,ata,2869,a_k,3134,nga,3060,_ke,1772,ay_,2500
_se,1636,an_,2849,ou_,1585,_gi,2776,ya_,2344,a_a,2517,ken,1999,ing,2470,a_n,2152,_ya,1751,ng_,2085,apa,2744,ila,3131,a_m,3059,da_,1756,a_i,2355
la_,1626,a_a,2680,er_,1567,ing,2731,_pa,2266,n_h,2517,kad,1979,ala,2463,ari,2140,_pa,1743,n_s,2067,am_,2736,ban,3105,tao,3030,tag,1738,ara,2318
_le,1561,a_s,2651,_ha,1516,ay_,2728,a_a,2156,a_m,2382,aka,1968,ana,2437,_di,2046,ana,1734,e_s,2055,ia_,2727,hi_,3074,o_k,2994,a_n,1732,o_s,2296
._Y,1541,y_,2497,ng_,1493,a_a,2555,_ta,2112,_ni,2292,a_t,1968,a_n,2398,man,2023,on_,1687,ban,1986,n_n,2720,a_m,3021,n_n,2939,ina,1722,kag,2285
e_e,1493,nga,2448,n_t,1449,a_k,2554,aka,2092,ira,2284,i_a,1956,la_,2353,_a_,1982,_in,1611,_Is,1930,_pa,2702,iyu,3018,ing,2863,kan,1718,od_,2227
e_l,1478,_pa,2358,him,1434,iya,2532,ara,1950,_iy,2256,a_k,1933,a_a,2229,rin,1976,so_,1607,i_I,1874,_ta,2697,n_k,2981,ao_,2804,man,1700,ni_,2205
ra_,1452,t_s,2320,_in,1353,ila,2523,_da,1920,n_i,2254,_ta,1773,ay_,2190,_da,1972,_so,1582,Isa,1871,en_,2682,amu,2872,man,2760,ot_,1679,_gi,2200
_ha,1443,ing,2318,hat,1344,o_s,2450,nda,1919,o_n,2209,ay_,1719,n_s,2150,_ba,1910,"o,_",1571,_we,1867,_so,2570,ung,2824,a_k,2732,na_,1669,o_n,2184
ent,1303,_ay,2302,",_a",1340,gin,2361,sai,1850,ara,2113,pan,1698,_gi,2088,g_p,1865,awa,1553,_sa,1822,a_o,2509,pa_,2776,ay_,2706,agu,1628,aga,2151
ien,1302,ong,2289,ut_,1323,o_n,2269,n_k,1820,ra_,2050,a_i,1681,_mi,1940,kar,1860,_ra,1533,nga,1818,_sa,2482,a_n,2773,da_,2646,nga,1589,gin,2119
e_d,1290,nan,2247,_no,1284,n_s,2227,a_k,1772,iri,1996,i_J,1662,ani,1912,tan,1855,aka,1527,_ne,1799,sia,2467,un_,2715,en_,2604,_ha,1568,nda,2100
o_d,1287,g_s,2111,as_,1280,_ni,2192,man,1708,ana,1937,ket,1590,n_n,1834,aka,1799,oy_,1507,n_d,1713,ta_,2430,mu_,2701,_ji,2533,_ot,1562,aka,2092
ado,1210,g_k,2107,e_s,1261,mo_,2134,a_m,1687,aka,1900,man,1537,o_s,1741,din,1793,n_t,1485,_aa,1673,ara,2412,kan,2674,ara,2506,ke_,1560,mo_,2053
_no,1210,apa,2031,ere,1229,n_n,2117,ni_,1660,ng_,1890,nna,1531,ngo,1685,a_i,1791,y_a,1455,in.,1671,ang,2411,tau,2545,a_d,2454,_Je,1539,sin,2051
_po,1190,abi,1985,",_""",1226,ya_,2102,ing,1650,ata,1889,aga,1520,pag,1656,yu_,1760,_Je,1449,siy,1667,so_,2375,na_,2502,ta_,2386,n_a,1509,ind,2039
on_,1187,ata,1963,o_t,1198,sil,2093,nga,1650,mo_,1860,nan,1468,tan,1651,kan,1708,sus,1405,aha,1658,ana,2345,n_n,2497,a_s,2367,ali,1506,man,1987
end,1144,_At,1962,or_,1181,_in,2072,i_J,1621,ni_,1859,_Je,1465,ako,1607,_me,1624,to_,1402,"e,_",1584,o_n,2244,la_,2462,o_m,2338,aka,1495,ang,1931
ier,1123,At_,1960,his,1173,g_i,2055,ako,1589,n_p,1841,_sa,1415,od_,1600,kay,1594,ya_,1393,"in,",1583,o_m,2233,u_i,2456,_ra,2337,ata,1462,n_k,1887
o_e,1102,t_n,1937,t_t,1160,g_s,2009,aga,1588,n_k,1827,"a,_",1410,_ta,1589,gan,1557,Jes,1374,e_m,1582,da_,2210,_sa,2406,ani,2315,Jes,1457,_iy,1785
_pa,1080,nag,1937,ill,1157,ni_,1989,ala,1530,pag,1810,sus,1403,a_t,1544,u_k,1547,esu,1371,ya_,1563,ava,2048,aka,2330,ran,2285,yu_,1455,da_,1763
le_,1047,lan,1935,in_,1145,g_n,1911,gan,1507,a_k,1808,_ag,1399,a_p,1540,n_n,1540,n_n,1364,_ta,1560,sa_,2039,_da,2329,iri,2260,esu,1454,a_p,1741
s_e,1039,n_n,1925,ve_,1114,_ta,1905,yan,1493,ako,1753,una,1396,pan,1492,g_b,1533,ama,1347,_in,1528,o_d,2037,siy,2307,ni_,2231,sus,1447,ina,1716
_ma,1036,"a,_",1916,ey_,1086,a_p,1885,asi,1486,n_a,1729,Jes,1395,iin,1486,_mi,1514,nan,1342,gan,1508,nio,1969,a_h,2257,_Am,2215,n_t,1405,ata,1604
_su,1030,ya_,1895,not,1074,_iy,1843,on_,1455,a_t,1720,esu,1393,nan,1460,ayu,1510,sar,1337,ku_,1503,n_d,1911,_ba,2251,rin,2183,nah,1365,_ta,1572
ero,1000,aga,1880,e_a,1072,sin,1813,_Je,1450,ing,1707,nag,1391,ni_,1445,g_t,1485,_an,1336,amb,1501,n_a,1899,han,2187,yan,2153,n_k,1359,ana,1490
con,986,pag,1794,_on,1061,lin,1753,sus,1437,gin,1674,nak,1384,lan,1444,_ta,1462,_ne,1317,ai_,1483,ra_,1883,_am,2084,nyo,2149,in_,1341,ako,1489
"a,_",979,sin,1782,hey,1056,ako,1653,n_a,1435,nag,1660,ina,1382,usa,1428,_Je,1459,ng_,1317,wa_,1483,ay_,1876,Īsa,2059,ya_,2146,us_,1324,pag,1485
re_,974,y_n,1740,on_,1049,a_t,1646,Jes,1372,",_n",1652,a_m,1380,_Je,1418,nga,1431,a_t,1305,e_k,1464,_an,1833,_Īs,2058,_to,2141,at_,1297,n_a,1478
ron,969,man,1736,tha,1045,aka,1609,esu,1369,_ak,1494,i_p,1376,siy,1416,_ku,1431,ak_,1287,mag,1460,o_s,1827,aun,2024,yo_,2110,day,1293,_di,1424
_al,950,asa,1734,_fo,1041,ags,1595,_as,1363,sus,1466,no_,1357,ini,1413,sus,1408,n_s,1281,nen,1441,a_k,1814,sa_,2006,si_,2034,_in,1276,amo,1401
ijo,939,a_i,1704,for,1018,_ba,1575,dan,1349,hiy,1442,n_a,1348,han,1412,_ke,1393,a_a,1268,",_""",1433,ira,1794,aga,2002,_pa,2021,ng_,1251,i_s,1376
a_l,935,g_i,1687,s_a,1018,pag,1560,o_n,1335,to_,1439,a._,1328,a_i,1391,yan,1382,ira,1265,nde,1431,man,1719,_la,1983,a_o,2020,iya,1226,apa,1375
e_a,918,aki,1681,es_,1016,kon,1529,o_s,1321,kon,1434,ak_,1320,g_k,1372,ata,1381,n_m,1233,sa_,1423,ina,1701,iba,1972,_Ma,2019,en_,1212,n_i,1359
an_,910,._A,1655,"d,_",1013,amo,1517,abi,1306,tan,1432,apa,1318,g_s,1359,esu,1379,aga,1232,e_a,1417,s_k,1669,a._,1955,aka,2003,ida,1212,_in,1331
e_s,901,a'y,1622,me_,1012,mag,1516,ay_,1298,amo,1431,yo_,1311,sus,1355,Jes,1376,ag_,1225,kaa,1396,o_p,1622,a_t,1922,ira,1947,kay,1207,yo_,1331
"os,",900,yan,1610,hen,1008,_ak,1510,o_a,1266,"a,_",1426,ayo,1296,o_n,1350,"a,_",1374,_ag,1218,pai,1395,kap,1608,au_,1917,_ny,1939,ayu,1178,i_n,1330
n_e,889,siy,1584,_wa,998,man,1503,ini,1230,_Je,1416,i_k,1275,Jes,1349,ama,1349,ey_,1217,ini,1384,io_,1606,ata,1857,i_Y,1935,nay,1171,os_,1320
sta,889,ags,1516,"m,_",994,od_,1495,ko_,1220,g_h,1413,o_a,1264,esu,1347,abi,1347,a_s,1209,aam,1378,kan,1595,nil,1835,n_a,1919,_pa,1170,o_k,1309
s._,869,nil,1516,aid,992,sia,1476,siy,1212,na_,1370,kay,1237,g_n,1346,ara,1323,kay,1203,ahi,1361,_ko,1583,awa,1808,kan,1906,_ad,1169,to_,1303
por,869,ama,1502,ave,989,ata,1470,",_""",1193,Jes,1344,dak,1224,i_J,1339,g_s,1302,"a,_",1201,aa_,1359,nga,1575,yu_,1778,a._,1824,diy,1163,aba,1303
tro,869,_ba,1498,ot_,962,_Je,1454,g_n,1192,esu,1344,i_m,1217,_di,1326,us_,1285,_di,1200,nan,1345,mo_,1573,ku_,1757,ake,1770,mun,1150,siy,1296
te_,857,"o,_",1482,wil,955,a_g,1427,i_n,1182,hi_,1318,ala,1201,dto,1306,asa,1277,eng,1194,nne,1334,o_t,1570,ara,1751,_Ye,1762,a_y,1146,niy,1292
a_d,850,aka,1469,e_o,945,"a,_",1410,amo,1175,ini,1292,n_n,1198,niy,1300,ina,1274,n_i,1181,e_d,1332,i_J,1521,n_p,1750,nir,1738,a._,1145,li_,1289
se_,846,ali,1428,sai,933,ili,1410,a_p,1173,dto,1289,asa,1187,nag,1285,aya,1234,aba,1172,a_s,1327,ni_,1464,aya,1740,_ya,1718,adi,1128,_ak,1280
and,841,ana,1420,hem,926,a_b,1392,da_,1167,_ta,1285,kua,1152,n_k,1284,eng,1230,ali,1165,ala,1320,s_a,1429,aba,1725,_jy,1704,pu_,1114,sab,1262
o:_,838,a_m,1411,one,923,yo_,1390,ndo,1162,iyo,1265,ann,1151,to_,1262,ita,1224,uan,1152,n_m,1316,_Je,1376,n_i,1714,pan,1700,_yu,1105,_Je,1259
res,801,g_a,1404,d_h,918,Jes,1378,si_,1158,_gi,1253,ta_,1147,nak,1254,a._,1209,a_n,1144,uha,1301,nak,1359,_ku,1710,jya,1691,"y_""",1101,o_a,1259
s_l,792,"n,_",1397,_we,911,esu,1375,sak,1158,i_J,1243,n_t,1128,a_u,1253,g_d,1204,",_""",1131,_ga,1301,_ay,1333,yan,1708,Yes,1652,dah,1096,sus,1255
_vi,790,t_,1391,_a_,896,sus,1372,g_m,1144,od_,1213,i_n,1103,aka,1248,_sa,1176,may,1126,ata,1253,o_o,1333,mag,1681,o._,1648,gun,1086,ala,1249
o_a,786,gka,1382,s_t,886,i_J,1348,gad,1133,_ba,1208,aya,1091,ayo,1235,inu,1174,nga,1104,_Pa,1243,ato,1327,ta_,1660,eso,1646,Apu,1075,n_p,1223
s_p,781,agk,1368,id_,875,tan,1301,ot_,1131,ala,1199,inu,1062,man,1229,a_a,1167,ina,1095,_la,1232,n_s,1327,_ib,1659,ra_,1634,ak_,1070,",_""",1215
dij,776,in_,1307,who,874,bal,1300,asa,1122,kam,1192,i_t,1044,yan,1217,_mu,1156,yan,1089,ani,1227,awo,1305,a_d,1638,sir,1602,gan,1061,i_J,1206
or_,767,ayo,1303,se_,858,g_a,1284,tan,1113,i_n,1179,a_d,1037,gon,1213,a_m,1143,_yo,1088,_bi,1208,Jes,1298,ani,1634,to_,1598,_Di,1013,Jes,1204
dos,766,a't,1291,_is,853,",_""",1262,kam,1107,_di,1178,ami,1037,g_a,1211,nak,1143,_ir,1080,tan,1199,esu,1295,i_Ī,1611,ma_,1586,ulu,1009,esu,1202
nto,752,nyo,1288,e_h,839,ana,1261,mag,1104,rin,1171,_ad,1032,",_""",1186,a_l,1138,ayo,1078,a_m,1192,ano,1290,n_t,1580,ji_,1556,_Ap,985,ko_,1183
era,750,ari,1285,The,831,aba,1260,a_d,1101,_in,1168,_ba,1020,_ba,1177,n_k,1137,o._,1074,_Ma,1190,sus,1289,wa_,1555,aci,1551,pan,975,asa,1178
s_c,747,la_,1283,thi,825,nyo,1257,g_s,1094,",_""",1149,to_,993,ata,1157,g_J,1118,ngg,1052,man,1179,taw,1265,g_n,1507,ong,1511,n_y,972,ta_,1172
_to,742,g_p,1280,"s,_",821,ia_,1250,niy,1071,kan,1144,di_,990,g_i,1146,apa,1110,in_,1051,",_p",1165,ari,1255,tan,1497,mey,1482,lan,971,ayo,1157
_mu,740,iny,1268,".""_",817,ina,1245,"o,_",1066,ags,1128,aba,982,na_,1134,ku_,1104,pan,1046,e_p,1157,ahe,1249,ud_,1458,_ko,1481,a_m,971,nak,1141
;_y,737,aha,1264,ne_,815,agp,1237,han,1057,ina,1121,o_t,977,kam,1128,pan,1102,a_m,1043,aan,1143,a_p,1224,asa,1452,ano,1475,".""_",970,aya,1131
_un,736,o_a,1263,_Je,805,ini,1235,"a,_",1053,niy,1101,o_k,973,g_g,1123,ban,1094,ale,1022,_ku,1143,",_""",1198,n_b,1448,o_d,1459,n_i,966,in_,1124
cie,730,g_n,1255,_Th,805,gpa,1234,ta_,1046,a_b,1101,awa,971,ko_,1122,da_,1057,ata,1015,_pi,1142,a._,1169,pag,1437,ata,1444,a_a,965,lan,1121
"e,_",727,hin,1227,"e,_",797,taw,1217,aro,1022,man,1090,nun,958,o_k,1121,ali,1052,n_J,1013,i_s,1137,"a,_",1161,_Na,1407,ala,1412,te_,958,a_t,1113
s_s,720,uma,1219,_I_,789,ali,1196,ad_,1020,_ti,1088,ara,954,ka_,1106,_al,1040,inm,1013,aku,1131,ri_,1159,sab,1375,Man,1411,uwa,952,ama,1111
al_,717,awa,1218,d_a,785,iny,1191,a_t,1013,sir,1088,us_,943,mo_,1096,g_i,1023,kua,1009,nak,1131,nan,1157,tu_,1366,aha,1402,han,947,mag,1100
dic,714,pan,1216,f_t,778,",_k",1189,ags,981,awo,1071,day,930,si_,1085,bat,1011,od_,1009,ari,1111,ake,1146,nan,1357,mo_,1386,ios,937,nga,1097
bre,713,mag,1213,_co,777,awo,1160,ata,980,inm,1071,i_s,924,amo,1076,tun,1000,aya,1005,am_,1102,par,1118,n_d,1349,"am,",1384,Dio,935,abi,1095
e_h,710,_ak,1203,e_c,774,apa,1153,aiy,975,nan,1063,toy,917,us_,1075,aki,992,_ba,992,".""_",1089,a_t,1085,aw_,1348,n_d,1374,dak,929,ali,1077
par,707,yon,1194,_do,759,ka_,1127,aha,974,hir,1063,em_,917,taw,1061,g_l,986,n_d,973,kan,1084,awa,1076,_di,1338,wan,1371,wan,926,dto,1065
_si,706,",_n",1169,_it,754,o_a,1115,_Na,966,"n,_",1055,i_d,903,a_b,1044,tin,979,bal,973,u_s,1071,kav,1075,uha,1323,"m,_",1369,uh_,926,iyo,1048
lo_,704,bi_,1163,ent,744,si_,1089,a_i,963,"o,_",1054,i_b,885,ili,1033,_ne,972,kat,970,agu,1071,in_,1064,"Na,",1309,o_j,1364,u_D,918,tan,1044
_Je,702,ito,1160,o_h,741,us_,1089,sab,963,taw,1051,_in,879,ag_,1024,_e_,964,",_t",953,ama,1066,vat,1053,",_""",1299,ko_,1355,hiy,913,han,1044
_sa,699,o_s,1157,th_,738,d_s,1051,ada,949,ko_,1042,san,872,_iy,1021,n_d,962,lan,947,_de,1055,._A,1042,u_m,1297,o_i,1331,iye,904,d_s,1042
del,698,i_n,1145,was,725,ko_,1050,ai_,946,a_p,1032,ama,870,nin,1014,ian,947,too,945,ana,1047,rin,1040,ab_,1276,n_s,1330,tat,897,aki,1017
_cu,697,ndi,1138,ter,712,isa,1046,ain,945,at_,1019,gan,863,awo,1010,bal,947,ato,938,i_m,1020,pan,1039,aku,1275,nan,1326,n_J,896,kay,1016
o._,690,_la,1135,an_,709,g_k,1031,mo_,930,aba,998,._N,858,_ak,989,ta_,940,ant,935,_da,1019,ko_,1005,a_p,1275,i_A,1323,_bo,885,a_g,1013
_él,689,san,1133,us_,707,kam,1017,ki_,929,adt,990,ata,855,_ki,982,mak,939,yo_,932,e_b,1013,_mo,985,kam,1267,gay,1316,e_h,883,kam,1004
_te,685,di_,1132,_ca,698,o_k,1007,lag,923,yo_,990,ita,853,a_g,969,eka,912,san,930,._P,1005,dia,985,u_k,1264,",_""",1298,ta_,880,ro_,1004
s_a,682,n_a,1128,_ma,698,i_n,1004,_in,919,d_h,975,kan,847,g_p,961,iba,909,at_,921,un_,1005,tan,975,ay_,1232,apa,1295,os_,880,ili,992
aba,674,_in,1120,_se,694,imo,983,_ba,918,mat,974,may,846,li_,957,alu,896,ta_,917,bi_,999,cha,965,_mu,1231,Ama,1277,ngi,877,a_d,961
_ve,672,on_,1118,our,692,ulo,972,aya,912,_Na,929,uan,845,ali,952,a_d,888,gga,907,de_,988,".""_",961,_Tu,1221,o_p,1268,_mi,867,si_,952
otr,669,t_a,1085,ho_,691,ta_,970,o_k,909,_ko,922,aki,841,kon,940,n_a,887,o_a,896,_Tu,985,_As,953,"u,_",1217,g_a,1267,ung,860,apo,937
n_l,667,nab,1083,it_,684,i_s,968,abo,899,aw_,906,apu,834,kin,939,_i_,862,us_,895,gge,973,ro_,948,_tu,1217,_me,1243,a_k,848,nan,934
ros,666,_ta,1068,ith,677,t_s,968,og_,892,t_h,883,aan,823,sil,938,aba,862,ari,890,tin,963,mak,948,"ya,",1215,pey,1204,_te,844,taw,932
a_s,664,n_s,1054,om_,670,kay,956,nan,891,nak,881,_di,815,imo,937,ani,856,y_m,884,n_p,949,os_,946,_du,1187,i_n,1189,ama,831,aha,915
y_l,663,isa,1046,esu,665,ama,950,apa,881,i_h,875,a_p,808,"a,_",933,_yu,845,asa,873,e_n,949,_ya,946,ayn,1180,._M,1174,did,809,_la,912
s_q,661,kin,1036,r_t,652,s_n,948,_Ka,872,_la,856,ayt,807,aha,924,nya,843,y_t,866,_pe,941,di_,938,ari,1178,nak,1173,e_d,805,ra_,911
_re,653,gay,1033,Jes,650,"o,_",947,ka_,843,_bu,837,_si,804,adt,920,ad_,838,a_r,862,ew_,937,aw_,936,nag,1178,o_o,1170,ipa,803,g_s,904
nte,644,aba,1026,sus,648,ayo,928,ana,828,mag,835,_ki,795,ita,919,it_,830,gan,857,ine,936,yan,925,day,1170,".""_",1150,_tu,798,ags,903
ara,635,_hi,999,are,640,_il,924,_ak,816,ri_,830,nto,794,gan,911,t_n,824,apa,847,ali,935,to_,922,Tuh,1156,o_s,1147,t_k,796,_ba,893
",_d",634,han,992,_me,639,pan,914,awo,813,us_,824,_id,791,ta_,899,anu,824,o_t,847,pan,935,avo,919,u_s,1152,g_s,1141,aba,786,ani,885
a_e,629,a_p,989,_di,636,lan,907,i_s,812,di_,822,dda,790,_us,895,ne_,818,_In,846,ind,932,pay,917,_bi,1148,ken,1140,apu,784,g_n,883
e_c,627,yo_,986,t_a,628,ndi,907,n_p,807,o_a,818,ng_,782,nyo,893,nen,817,_on,844,Tuh,922,aha,915,law,1134,a_j,1111,uma,771,".""_",878
_pr,623,g_t,980,ome,623,bat,897,"n,_",805,-an,816,tan,780,n_a,892,lin,817,sak,829,guw,914,va_,914,ali,1132,tan,1101,a_i,767,ita,871
e_t,622,aya,980,_al,621,di_,874,g_k,798,awa,815,tao,778,iny,891,tau,813,ake,828,_Sa,913,asa,913,a_l,1132,g_n,1091,i_k,753,a_b,869
Jes,621,gan,979,",_t",619,n_k,873,os_,797,n_t,811,o_i,775,yo_,885,sab,803,kar,816,sab,912,s_n,898,"n,_",1130,_an,1079,ila,750,a._,851
esú,618,kay,976,_re,609,aha,867,_ko,797,_ir,797,kin,767,g_t,882,u_n,792,_am,808,gai,901,As_,893,yn_,1125,yak,1073,kal,744,o_m,848
sús,618,gsi,971,t_h,609,"n,_",844,do_,794,ato,793,enk,766,o_a,878,i_n,781,_ni,800,i_k,890,ian,886,ala,1124,mac,1071,wad,739,"a,_",843
las,617,ara,964,wer,609,g_p,836,taw,777,n_b,793,"o,_",748,ahi,867,t_k,777,nto,790,asa,886,us_,886,_ya,1114,ipa,1038,itu,730,kon,835
les,617,ind,964,_so,605,nak,830,us_,757,imo,786,gem,741,ama,855,kek,772,ane,787,e_t,884,may,874,nak,1099,asa,1018,._H,722,ero,824
hab,610,ita,961,eve,605,o_m,827,dai,750,ot_,777,ung,740,n_u,848,ila,770,si_,783,mba,883,hen,872,ana,1096,kap,1013,od_,720,at_,817
_mi,607,tin,960,e_f,604,gsi,822,Nag,746,gad,772,na.,735,ung,847,aga,768,lay,771,pin,880,dir,861,a_b,1078,._A,1012,tud,713,mat,816
ía_,601,_da,959,out,604,wo_,814,aba,744,nma,771,lan,735,_mo,832,_Ka,752,sia,770,uwe,873,dan,848,_su,1066,ten,1004,pun,712,_Pa,797
a_m,598,nak,954,wit,602,ung,807,pag,734,aki,770,ari,732,aw_,818,ak_,750,"n,_",770,"a,_",870,gay,846,amb,1034,m_m,972,ini,711,ng_,797
o_l,595,ung,950,ear,601,to_,806,ban,732,a._,760,o_n,730,asa,809,mu_,742,nma,770,jar,867,wo_,841,bay,1034,ate,947,_wa,708,ung,797
to_,589,gin,945,all,594,g_t,806,n_d,730,",_k",755,",_""",726,sul,804,u._,741,y_k,753,_ni,858,kay,824,a_a,1031,ri_,925,un-,708,bat,790
ell,583,g_b,933,d_w,589,_ko,805,aw_,713,ali,748,oy_,723,n_m,802,_de,739,da_,741,n_b,857,i_a,818,n_a,1024,i_a,919,ong,703,par,780
rqu,582,o_n,932,ad_,589,ot_,792,s_n,711,ton,746,_Na,723,nil,801,uan,736,n_k,735,aya,856,map,804,amp,1018,a_r,918,nal,700,ini,772
is_,582,g_l,925,be_,588,aki,790,aki,705,san,743,o._,718,_ko,801,"u,_",730,_ak,729,n_k,853,n_k,799,al_,1012,cir,908,i_m,698,_ku,764
